"SAQ CODE (IPC)/CODE SAQ (CIP)";"UPC";"DESCRIPTION";"SALES UNIT/UNITÉ DE VENTE";"QTY OF BOTTLES/QTÉ BOUTEILLE";"YEAR/ANNÉE";"PERIOD/PÉRIODE";"WEEK/SEMAINE"
"15336228";00781005719455;"Gentle Folk Chardonnay";"750";4;2025;11;3;
"15534507";00628678354623;"Les Bottes Rouges Léon Arbois";"750";12;2025;11;3;
"14960117";00874618009324;"Dillon's Cocktail Au Gin Tangerine et Citron(6X355ml)";"355";6;2025;11;3;
"13300387";00056049135050;"Silverthorne Cabernet Shiraz";"750";1021;2025;11;3;
"14923324";05202797000927;"Glinavos Aspra Homata";"750";1;2025;11;3;
"15110157";00776545600998;"Petrichor Cabernet Merlot Péninsule du Niagara";"750";1;2025;11;3;
"11575731";00827924014070;"Gagliano Frontenac Gris";"750";2;2025;11;3;
"15472166";03481630000344;"Château Montlisse Saint- Emilion Grand Cru";"375";5;2025;11;3;
"15384342";00628678149137;"Équinoxe Balade";"750";3;2025;11;3;
"15081034";06009607661878;"Ken Forrester Dirty Little Secret Five";"750";9;2025;11;3;
"11639053";03434040016986;"Riesling Domaine Weinbach Alsace";"750";2;2025;11;3;
"15375032";03609050244494;"Chateau Rauzan Segla Margaux Grand Cru Classé";"1500";1;2025;11;3;
"14818786";05450013734204;"Coffret Cadeau Bernard Massard Cuvée de l'Écusson Brut + 2 ve";"750";5;2025;11;3;
"15052145";03760172719557;"Château Lagrange Grand Cru Classé Saint-Julien";"750";6;2025;11;3;
"15193917";08033182054389;"Tenuta Delle Terre Nere Etna Rosso San Lorenzo";"750";1;2025;11;3;
"15343874";08033040312880;"Guiseppe Mascarello e Figlio Dolcetto d'Alba Vigna Santo";"750";1;2025;11;3;
"15357838";03511061493658;"Château Bellevue Mondotte Saint-Emilion Grand Cru";"1500";1;2025;11;3;
"12404969";00813497005904;"Luc Belaire Rare Rosé";"750";174;2025;11;3;
"11676487";00854745000739;"Coureur des Bois Crème";"1140";863;2025;11;3;
"15472684";03760201503362;"Pyrène Blanc Bec Léger";"750";583;2025;11;3;
"8888";03161420000166;"St-Rémy VSOP";"750";2808;2025;11;3;
"31096";08412449903231;"Real Tesoro Sec";"750";400;2025;11;3;
"585422";08027331000617;"Anselmi San Vincenzo Veneto";"750";863;2025;11;3;
"566182";00082000767282;"Smirnoff  Raspberry";"750";1984;2025;11;3;
"13746485";05606469000053;"Adega de Penalva Dão";"750";1185;2025;11;3;
"11355894";00050037599220;"Tia Maria";"1140";699;2025;11;3;
"1487";00087000007253;"Crown Royal";"750";2695;2025;11;3;
