saq_entrepot_id,entrepot,code_saq,qty,annee,periode,semaine,date
331,CDM,14250123,24.3333,2022,9,2,2022-11-19
332,CDM,14545132,104.083,2022,9,2,2022-11-19
333,CDM,14561781,117.5,2022,9,2,2022-11-19
334,CDM,14682882,610.75,2022,9,2,2022-11-19
335,CDM,14682891,146.917,2022,9,2,2022-11-19
336,CDM,14758699,174.833,2022,9,2,2022-11-19
337,CDM,14954868,113.167,2022,9,2,2022-11-19
338,CDM,14954876,156.0,2022,9,2,2022-11-19
339,CDM,14960213,921.833,2022,9,2,2022-11-19
340,CDM,14989770,158.083,2022,9,2,2022-11-19
341,CDM,14989788,104.5,2022,9,2,2022-11-19
342,CDM,14989796,32.0,2022,9,2,2022-11-19
343,CDM,14989809,80.1667,2022,9,2,2022-11-19
344,CDM,14989825,374.833,2022,9,2,2022-11-19
345,CDM,14989833,157.75,2022,9,2,2022-11-19
346,CDM,15095284,5.9167,2022,9,2,2022-11-19
347,CDQ,14001338,5.1667,2022,9,2,2022-11-19
348,CDQ,14064873,14.1667,2022,9,2,2022-11-19
349,CDQ,14250123,9.8333,2022,9,2,2022-11-19
350,CDQ,14545132,9.4167,2022,9,2,2022-11-19
351,CDQ,14561781,38.5833,2022,9,2,2022-11-19
352,CDQ,14682882,48.4167,2022,9,2,2022-11-19
353,CDQ,14682891,4.4167,2022,9,2,2022-11-19
354,CDQ,14758699,39.8333,2022,9,2,2022-11-19
355,CDQ,14954868,51.5833,2022,9,2,2022-11-19
356,CDQ,14954876,3.75,2022,9,2,2022-11-19
357,CDQ,14960213,538.667,2022,9,2,2022-11-19
358,CDQ,14989788,14.8333,2022,9,2,2022-11-19
359,CDQ,14989796,77.6667,2022,9,2,2022-11-19
360,CDQ,14989809,62.75,2022,9,2,2022-11-19
361,CDQ,14989833,29.9167,2022,9,2,2022-11-19
362,CDQ,15095284,0.25,2022,9,2,2022-11-19
397,CDM,14001338,55.9167,2022,9,3,2022-11-26
398,CDM,14064873,33.0833,2022,9,3,2022-11-26
399,CDM,14250123,23.25,2022,9,3,2022-11-26
400,CDM,14545132,79.9167,2022,9,3,2022-11-26
401,CDM,14561781,114.333,2022,9,3,2022-11-26
402,CDM,14682882,528.25,2022,9,3,2022-11-26
403,CDM,14682891,146.833,2022,9,3,2022-11-26
404,CDM,14758699,140.583,2022,9,3,2022-11-26
405,CDM,14954868,107.083,2022,9,3,2022-11-26
406,CDM,14954876,142.667,2022,9,3,2022-11-26
407,CDM,14960213,902.667,2022,9,3,2022-11-26
408,CDM,14989770,144.417,2022,9,3,2022-11-26
409,CDM,14989788,97.3333,2022,9,3,2022-11-26
410,CDM,14989796,26.75,2022,9,3,2022-11-26
411,CDM,14989809,77.5,2022,9,3,2022-11-26
412,CDM,14989825,373.5,2022,9,3,2022-11-26
413,CDM,14989833,155.583,2022,9,3,2022-11-26
414,CDM,15095284,6.75,2022,9,3,2022-11-26
415,CDQ,14001338,5.1667,2022,9,3,2022-11-26
416,CDQ,14064873,14.1667,2022,9,3,2022-11-26
417,CDQ,14250123,8.8333,2022,9,3,2022-11-26
418,CDQ,14545132,10.3333,2022,9,3,2022-11-26
419,CDQ,14561781,38.25,2022,9,3,2022-11-26
420,CDQ,14682882,99.0833,2022,9,3,2022-11-26
421,CDQ,14682891,2.4167,2022,9,3,2022-11-26
422,CDQ,14758699,17.25,2022,9,3,2022-11-26
423,CDQ,14954868,47.5833,2022,9,3,2022-11-26
424,CDQ,14954876,11.75,2022,9,3,2022-11-26
425,CDQ,14960213,536.667,2022,9,3,2022-11-26
426,CDQ,14989788,10.8333,2022,9,3,2022-11-26
427,CDQ,14989796,77.6667,2022,9,3,2022-11-26
